kaBP,depth,accrate,Erica,Allophylus,Acacia,Combretum,Commiphora,Cussonia,Dobera,Lannea,Macaranga,Olea,Podocarpus,Phoenix,Rhus,Securinega,Teclea,Zanthoxylum,Melastomataceae,Cassia,Capparidaceae,Maytenus,Acalypha,Euphorbia,Euphorbiacea,Phyllantus,Tamarindus,Buxus,Psydrax,Celastraceae,Celtis,Alchornea,Dodonaea,Ekebergia,Ephedra,Ficus,Ilex,Clematis,Euclea,Hagenia,Juniperus,Myrica,Myrsine,Rapanea,Rosa,Schefflera,Hypoestes,Hypericum,Anthospermum,Alchemilla,Aloe,Chenopodiaceae,Artemisia,Cichoroideae,Aster,Asteroideae,Carduus,Cerastium,Cerealia,Plantago,Poaceae,Asteraceae,Vernonia,Rumex,Polygonum,Solanum,Tribulus,Apiaceae,Urticaceae,Ziziphus,Brucea,Ricinus,Sapotaceae,Iridaceae,Asphodellus,Anthyllis,Leguminosae,Galium,Rubiaceae,Brassicaceae,Acanthus,Blepharis,Justicia,Caryophylaceae,Chorcorus,Satureja,Swertia,Senecio,Heliotropium,Kohautia,Indigofera,Lamiaceae,Ranunculus,Thalictrum,Callytriche,Monoletes,Triletes,Cyperaceae,Typha,Botryococcus,Undetermined,Lycopodium,Lyc.conc
3.536,286,13,10,2,0,11,0,0,0,0,0,14,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,12,59,2,2,0,2,0,0,1,3,7,0,5,4,5,0,0,0,0,0,3,79,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,1,0,2,1,0,1,0,0,0,1,1,4,2,0,1,5,1,14,1,1143,1,200,31272
3.575,289,15,8,1,0,10,0,0,0,0,0,19,32,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,20,39,2,1,2,1,0,0,2,6,9,0,8,2,0,0,2,0,0,0,4,79,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,1,5,1,0,0,1,4,10,0,1775,1,210,31272
3.622,293,12,5,5,0,15,0,0,0,0,0,18,52,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,5,0,0,0,0,15,45,2,0,0,1,0,0,2,9,9,1,5,2,1,1,5,0,0,0,5,106,14,0,0,0,0,0,11,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,3,0,0,1,4,1,0,0,0,1,0,0,1,2,17,1,1651,1,198,31272
3.665,296,14,10,2,0,11,0,0,0,0,0,20,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,13,48,0,1,0,1,0,0,4,0,11,0,4,3,1,0,5,0,0,0,1,92,1,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,0,1,1,0,0,1,0,0,1,0,2,1,1,0,4,2,1,0,4,5,10,1,1675,2,128,31272
3.76,303,15,22,0,0,12,0,0,0,0,0,20,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,51,3,1,0,1,1,0,1,0,5,0,6,24,2,2,5,0,0,0,3,93,3,0,0,0,0,0,5,0,0,0,0,0,1,0,1,2,0,1,1,1,0,1,2,0,1,0,3,0,1,1,1,2,1,1,1,2,10,1,1698,4,142,31272
3.864,310,12,38,0,0,12,0,0,0,0,0,13,113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,40,2,0,1,0,0,0,5,0,10,0,4,21,4,1,5,0,0,0,0,105,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,1,1,1,1,0,3,1,1,1,0,0,0,0,5,0,1,1,5,4,13,1,1808,5,198,31272
3.933,315,14,27,0,0,13,0,0,0,0,0,20,115,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,2,21,2,1,0,0,0,0,3,9,7,0,5,25,6,0,10,0,0,0,1,109,15,0,0,0,0,0,6,0,0,0,0,0,5,0,1,1,1,0,0,1,0,0,4,1,0,1,1,0,0,1,0,2,0,0,2,3,13,1,452,2,325,31272
4.005,321,14,49,0,0,12,0,0,0,0,0,17,86,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,60,3,1,1,0,0,0,3,7,0,0,5,15,0,1,9,0,0,0,0,265,11,0,0,0,0,0,7,0,0,0,0,0,5,0,1,2,1,1,2,0,1,1,0,0,1,1,3,0,1,0,1,1,0,0,3,1,19,0,1271,2,212,31272
4.093,328,13,75,0,0,10,0,0,0,0,0,19,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,3,52,4,1,0,0,1,0,1,0,12,0,6,17,6,2,3,0,0,0,0,130,13,0,0,0,0,0,3,0,0,0,0,0,5,0,0,1,0,1,1,1,0,0,0,0,0,0,3,0,1,0,1,1,0,0,4,5,12,0,1701,0,570,31272
4.244,338,14,94,0,0,7,1,0,0,0,0,17,104,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,4,39,5,1,1,0,0,0,0,8,2,0,8,19,6,2,8,0,0,0,0,274,3,0,0,0,0,0,9,0,0,0,0,0,3,0,0,3,0,1,2,1,1,1,0,0,1,0,4,0,0,0,3,2,0,0,3,0,20,1,1427,4,677,31272
